PSG Operasyon Müdürl,PSG Operasyn mrkzi 2,Tesisat,Sipariş,ENLEM,BOYLAM,Toplam kwh ,mahalle adı,ILCE_ADI,NİTELİKLİ /NİTELİKSİZ DURUMU,Şirket Adı,Bölge Müdürlüğü,Ters Kayıt Tarihi,Oluşturma Tarihi,Tutanak Tarihi,Rapor Tarihi,Kaçak Tüketim Miktarı (kWh),Ek Tahakkuk Miktarı (kWh)
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4003830315,688147168,             40.9826495428950,             29.1841341388484,"28,196",FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/18/2024,1/15/2024,1/18/2024,28196,0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4003984402,689692397,             40.9780976153734,             29.1027868398593,"8,294",İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/15/2024,4/15/2024,4/15/2024,8294.4,0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4003990314,689164307,             40.9922979231010,             29.1183900691647,"4,268",ATATÜRK,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/12/2024,3/12/2024,3/12/2024,2134.08,2134.08
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004004119,689478453,             40.9804245791932,             29.1112751256117,"5,949",KÜÇÜKBAKKALKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/1/2024,4/1/2024,4/1/2024,5948.64,0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004014875,689933483,             40.9737274051112,             29.1279180847585,"3,636",İNÖNÜ,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/2/2024,5/2/2024,5/2/2024,3636,0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004031481,690230691,             40.9826687396419,             29.1535470756285,"5,400",MEVLANA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/22/2024,5/22/2024,5/22/2024,2700,2700
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004116282,689305287,             40.9886851051533,             29.1643627007733,"8,073",YENİ ÇAMLICA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/21/2024,3/19/2024,3/21/2024,2772.262,5301.047
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004198233,689953972,             40.9709323367222,             29.1363000910970,"6,084",FINDIKLI,MALTEPE,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/6/2024,5/4/2024,5/6/2024,6084,0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004254846,687720102,             40.9699933975101,             29.1193549775126,"4,824",İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/23/2024,2/23/2024,2/23/2024,4824,0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004254846,689954166,             40.9699933975101,             29.1193549775126,"6,816",İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/6/2024,5/4/2024,5/6/2024,6816,0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004327920,689305259,             40.9803569192498,             29.1128483832644,"17,227",KÜÇÜKBAKKALKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/21/2024,3/19/2024,3/21/2024,241.64,16985.44
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004457465,685946348,             40.9852861035092,             29.1582612214535,"5,982",MİMAR SİNAN,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/2/2024,2/2/2024,2/2/2024,5981.94,0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004484464,689752000,             40.9783902332723,             29.1343686508290,"2,400",İNÖNÜ,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/16/2024,5/15/2024,5/16/2024,1800,600
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004506830,689954069,             40.9845695553922,             29.1130066810706,"5,170",KÜÇÜKBAKKALKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/10/2024,5/10/2024,5/10/2024,5170.32,0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004581802,688229613,             40.9801543380589,             29.1094172862592,"9,517",KÜÇÜKBAKKALKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/21/2024,1/19/2024,1/21/2024,70.587,9446.13
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004588832,689051762,             40.9784623690571,             29.1819042339606,"7,892",FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/6/2024,3/5/2024,3/6/2024,95.25,7796.75
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004643846,687601860,             40.9876851254717,             29.1749957901609,"2,880",FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/26/2024,2/24/2024,2/26/2024,390,2490
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004643846,690062705,             40.9876851254717,             29.1749957901609,"2,618",FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/10/2024,5/9/2024,5/10/2024,838.994,1778.603
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004643846,690701825,             40.9876851254717,             29.1749957901609,"2,933",FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/24/2024,6/24/2024,6/24/2024,893.325,2039.539
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004662935,687847847,             40.9865109807889,             29.1917786179217,"17,280",FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/4/2024,1/4/2024,1/4/2024,4320,12960
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004672108,687770058,             40.9860384354364,             29.1674008916271,312,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/3/2024,1/2/2024,1/3/2024,312,0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004749730,689373299,             40.9722205594309,             29.1413550906993,"2,308",FINDIKLI,MALTEPE,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/1/2024,3/26/2024,4/1/2024,2307.762,0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004756833,689305302,             40.9796005576980,             29.1842501078381,"10,598",FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/21/2024,3/18/2024,3/21/2024,533.152,10064.664
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004847612,688332661,             40.9660813723025,             29.1237914633077,"2,040",FINDIKLI,MALTEPE,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/25/2024,1/24/2024,1/25/2024,570,1470
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004903122,689305325,             40.9796337730009,             29.1842549163948,"10,302",FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/21/2024,3/18/2024,3/21/2024,515,9787
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005088081,689305306,             40.9796369805907,             29.1842619246800,"10,195",FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/21/2024,3/21/2024,3/21/2024,521.733,9673.069
