PSG Operasyon Müdürl,PSG Operasyn mrkzi 2,Tesisat,Bildirim No,Sipariş No,ENLEM,BOYLAM,Toplam kwh,mahalle adı,ILCE_ADI,KAÇAK NEDENİ,HESAPLAMA YÖNTEMİ,NİTELİKLİ /NİTELİKSİZ DURUMU,Kulnc Drm.(CS Order),Sipariş türü,Gerçekleşen Tarih(sipariş),İşyeri/kaynak,Sonuç 1,Sonuç 1 grup kodu,Sonuç 2,Sonuç 2 grup kodu,Sonuç 3,Sonuç 3 grup kodu
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4005638503.0,591916173.0,680751776.0,40.8887774005325,29.2077219087705,1632053,YUNUS,KARTAL,4.0,1.0,NİTELİKLİ,OK,VC,06.01.2023,6800/50030213,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,BEYKOZ O.M.,4012940759.0,597716098.0,685706837.0,41.078153,29.331622,1076665,ÖMERLİ,ÇEKMEKÖY,9.0,1.0,NİTELİKLİ,OK,VC,19.09.2023,6800/51190101,KAYITTA OLMAYAN SAYAÇ(TESİSATSIZ).,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4011143150.0,593745673.0,682352457.0,40.9742453500189,29.2125317527236,959967,BÜYÜKBAKKALKÖY,MALTEPE,12.0,1.0,NİTELİKLİ,OK,VL,29.03.2023,6800/50030235,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4011270294.0,591883028.0,680724051.0,41.0095785134386,29.1055429545594,919308,ARMAĞANEVLER,ÜMRANİYE,12.0,1.0,NİTELİKLİ,OK,VL,05.01.2023,6800/50030250,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜSKÜDAR O.M.,4004649352.0,591791276.0,680646458.0,41.0107319243252,29.0203008574567,653314,SELİMİYE,ÜSKÜDAR,10.0,1.0,NİTELİKLİ,OK,Z9,11.01.2023,6800/50290101,ÖLÇÜ DEVRESİNE MÜDAHALE.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005070462.0,598113678.0,686050577.0,41.0042375394973,29.1546036528639,540000,YUKARI DUDULLU,ÜMRANİYE,12.0,1.0,NİTELİKLİ,OK,VL,03.10.2023,6800/50030250,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4010302995.0,598904662.0,686742663.0,40.9905587008304,29.1905832688569,296767,ESENKENT,ÜMRANİYE,12.0,1.0,NİTELİKLİ,OK,VL,06.11.2023,6800/50030219,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4011174581.0,599382805.0,687149223.0,40.9890477814609,29.0305494682621,200443,OSMANAĞA,KADIKÖY,12.0,1.0,NİTELİKLİ,OK,VL,29.11.2023,6800/50030217,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4004842475.0,594041502.0,682598982.0,41.0105859457956,29.2103798960381,199993,İNÖNÜ,SANCAKTEPE,10.0,1.0,NİTELİKLİ,OK,VC,12.04.2023,6800/50030243,ÖLÇÜ DEVRESİNE MÜDAHALE.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,VANİKÖY O.M.,4004925992.0,598636705.0,686508923.0,41.0444092764923,29.0448930994626,194400,BEYLERBEYİ,ÜSKÜDAR,4.0,1.0,NİTELİKLİ,OK,VC,24.10.2023,6800/50030250,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4005791262.0,598932232.0,686766720.0,41.0187435755639,29.1158377888176,162000,ARMAĞANEVLER,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,07.11.2023,6800/50030255,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
