PSG Operasyon Müdürl,PSG Operasyn mrkzi 2,Tesisat,Sipariş,ENLEM,BOYLAM,Toplam kwh,mahalle adı,ILCE_ADI,NİTELİKLİ /NİTELİKSİZ DURUMU,Şirket Adı,Bölge Müdürlüğü,Ters Kayıt Tarihi,Oluşturma Tarihi,Tutanak Tarihi,Rapor Tarihi,Kaçak Tüketim Miktarı (kWh),Ek Tahakkuk Miktarı (kWh)
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4003830315.0,688147168.0,40.982649542895,29.1841341388484,28196,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/18/2024,1/15/2024,1/18/2024,28196.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4003984402.0,689692397.0,40.9780976153734,29.1027868398593,8294,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/15/2024,4/15/2024,4/15/2024,8294.4,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4003990314.0,689164307.0,40.992297923101,29.1183900691647,4268,ATATÜRK,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/12/2024,3/12/2024,3/12/2024,2134.08,2134.08
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004004119.0,689478453.0,40.9804245791932,29.1112751256117,5949,KÜÇÜKBAKKALKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/1/2024,4/1/2024,4/1/2024,5948.64,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004014875.0,689933483.0,40.9737274051112,29.1279180847585,3636,İNÖNÜ,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/2/2024,5/2/2024,5/2/2024,3636.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004031481.0,690230691.0,40.9826687396419,29.1535470756285,5400,MEVLANA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/22/2024,5/22/2024,5/22/2024,2700.0,2700.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004116282.0,689305287.0,40.9886851051533,29.1643627007733,8073,YENİ ÇAMLICA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/21/2024,3/19/2024,3/21/2024,2772.262,5301.047
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004198233.0,689953972.0,40.9709323367222,29.136300091097,6084,FINDIKLI,MALTEPE,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/6/2024,5/4/2024,5/6/2024,6084.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004254846.0,687720102.0,40.9699933975101,29.1193549775126,4824,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/23/2024,2/23/2024,2/23/2024,4824.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004254846.0,689954166.0,40.9699933975101,29.1193549775126,6816,İÇERENKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/6/2024,5/4/2024,5/6/2024,6816.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004327920.0,689305259.0,40.9803569192498,29.1128483832644,17227,KÜÇÜKBAKKALKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/21/2024,3/19/2024,3/21/2024,241.64,16985.44
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004457465.0,685946348.0,40.9852861035092,29.1582612214535,5982,MİMAR SİNAN,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/2/2024,2/2/2024,2/2/2024,5981.94,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004484464.0,689752000.0,40.9783902332723,29.134368650829,2400,İNÖNÜ,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/16/2024,5/15/2024,5/16/2024,1800.0,600.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004506830.0,689954069.0,40.9845695553922,29.1130066810706,5170,KÜÇÜKBAKKALKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/10/2024,5/10/2024,5/10/2024,5170.32,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004581802.0,688229613.0,40.9801543380589,29.1094172862592,9517,KÜÇÜKBAKKALKÖY,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/21/2024,1/19/2024,1/21/2024,70.587,9446.13
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004588832.0,689051762.0,40.9784623690571,29.1819042339606,7892,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/6/2024,3/5/2024,3/6/2024,95.25,7796.75
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004643846.0,687601860.0,40.9876851254717,29.1749957901609,2880,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,2/26/2024,2/24/2024,2/26/2024,390.0,2490.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004643846.0,690062705.0,40.9876851254717,29.1749957901609,2618,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,5/10/2024,5/9/2024,5/10/2024,838.994,1778.603
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004643846.0,690701825.0,40.9876851254717,29.1749957901609,2933,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,6/24/2024,6/24/2024,6/24/2024,893.325,2039.539
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004662935.0,687847847.0,40.9865109807889,29.1917786179217,17280,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/4/2024,1/4/2024,1/4/2024,4320.0,12960.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004672108.0,687770058.0,40.9860384354364,29.1674008916271,312,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/3/2024,1/2/2024,1/3/2024,312.0,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004749730.0,689373299.0,40.9722205594309,29.1413550906993,2308,FINDIKLI,MALTEPE,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,4/1/2024,3/26/2024,4/1/2024,2307.762,0.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004756833.0,689305302.0,40.979600557698,29.1842501078381,10598,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/21/2024,3/18/2024,3/21/2024,533.152,10064.664
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004847612.0,688332661.0,40.9660813723025,29.1237914633077,2040,FINDIKLI,MALTEPE,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,1/25/2024,1/24/2024,1/25/2024,570.0,1470.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4004903122.0,689305325.0,40.9796337730009,29.1842549163948,10302,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/21/2024,3/18/2024,3/21/2024,515.0,9787.0
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005088081.0,689305306.0,40.9796369805907,29.18426192468,10195,FERHATPAŞA,ATAŞEHİR,Nitelikli,AYEDAŞ,AYEDAŞ BÖL. MÜD.,,3/21/2024,3/21/2024,3/21/2024,521.733,9673.069
